f4_0,f4_1,f4_2,f4_3,label
0.25236654,7.786813,2.9182038,5.643695,0
0.0,1.0042874,2.0511334,3.9615755,2
1.3699025,8.3463,2.9738584,6.263919,0
1.7641622,7.8613186,2.1617842,5.5035934,0
2.5085626,8.884729,2.5222802,6.2063804,0
0.0,4.0170035,4.1868997,3.097237,1
2.4127564,9.183387,2.9501107,6.6493864,0
0.73247015,5.9927044,1.1960994,4.6085215,0
2.3930123,7.338917,0.0,5.9762125,0
0.0,6.338163,2.6168697,4.933329,0
0.0,4.1045136,3.2270918,2.7563386,1
0.0,5.8153553,3.4206972,4.3979864,1
0.0,3.9889562,3.3323498,2.8316355,1
0.0,3.4749196,3.4027004,2.627696,1
2.4633605,8.774013,2.5487697,6.260066,0
0.0,2.8987463,3.5411572,3.03682,1
0.81125444,5.1693115,1.0464494,4.128125,0
0.0,2.8111978,2.4379718,3.0415936,1
1.69451,8.495113,2.5242672,6.0225773,0
0.0,4.271331,3.4307752,3.0362177,1
0.0,0.7976869,0.48505032,2.9810963,2
0.0,0.7514183,0.90414107,3.7057617,2
1.3327312,8.350382,2.9017022,6.095846,0
0.0,1.1331253,1.8989717,3.8550591,2
0.0,4.4601717,3.280261,3.433713,1
0.0,5.377449,2.9815092,4.356695,1
0.0,3.340415,3.6779437,2.808711,1
0.6098149,7.2250967,2.8329506,5.517847,0
2.0086875,8.016624,2.1748104,5.591904,0
2.7903543,8.559597,2.0820947,5.9359946,0
0.0,5.896486,2.400507,4.695731,0
0.0,4.232376,3.7419274,2.8576243,1
0.0,0.66769576,0.41150534,3.5007894,2
0.0,4.1842804,3.139999,2.9908578,1
1.5629755,7.677452,2.219271,5.3565645,0
0.0,4.799322,4.1756463,3.2115564,1
0.0,0.55192524,0.0,4.1471686,2
0.0,5.122147,3.846871,3.1967118,1
2.071454,8.025139,2.7554166,5.9070144,0
0.0,7.6157136,3.1717715,5.785964,0
0.0,6.7763634,2.8721015,5.175107,0
2.1863775,8.710507,2.82319,5.9964027,0
0.0,1.7582393,2.3998919,3.284769,2
0.0,2.380071,2.8201427,3.195217,1
2.3279128,8.886427,2.7552109,6.335813,0
0.0,3.9079266,3.275585,3.0829363,1
2.4536645,9.253323,2.8469687,6.407814,0
0.49370039,6.99263,2.4999723,5.0565853,0
0.0,3.7940211,4.08835,3.0413346,1
0.0,0.5758606,0.0,4.1562557,2
0.0,1.7455317,2.8864603,3.026308,2
0.0,0.21244407,0.3376993,4.1986985,2
0.0,1.4881046,1.6664646,2.642418,2
0.0,4.9821587,4.1876197,3.3157225,1
2.4741638,8.559345,2.4816043,5.9605384,0
0.0,2.0501542,2.803801,3.364892,2
0.0,0.5032153,0.30331147,4.1945043,2
0.0,1.7522981,0.96392703,3.322331,2
0.0,4.4623804,4.001419,3.0903854,1
0.0,5.1676235,3.5258663,3.6810822,1
2.8093052,8.590709,2.2363625,6.05942,0
0.0,6.0871086,4.0821266,3.8398082,1
0.0,4.6662197,3.917191,3.1985152,1
0.0,0.79731005,1.5723298,3.6706967,2
1.8555866,8.81706,3.0761151,6.5780973,0
0.0,4.2765417,3.027209,3.0862575,1
0.0,0.62755084,1.0355985,3.3800526,2
3.1182194,9.241293,2.7868183,6.403786,0
0.1078707,6.901285,2.794538,5.3615327,0
0.0,6.1867743,3.877481,4.1360207,1
0.0,6.825553,3.2362025,4.82292,1
0.0,1.9359416,1.51375,3.132563,2
0.0,5.6930184,2.9402878,4.5680375,1
0.7529191,6.8791447,2.3562021,5.137807,0
0.0,2.766008,3.5408926,2.9217,1
0.0,0.50128543,0.0,3.3541434,2
0.0,0.4958201,1.2961973,3.9624825,2
1.5600711,7.4205437,1.8981092,5.3453417,0
1.0152233,7.138995,2.1456795,4.7719207,0
0.0,3.4554834,4.157117,3.1857696,1
0.0,4.1357794,4.101016,3.1392722,1
0.0,2.0724778,2.4871323,3.2075062,2
0.0,0.5897022,0.0,4.1195765,2
0.0,0.51372695,1.3800747,3.9691722,2
0.0,0.68706703,0.29639196,3.7340348,2
0.0,3.1857553,2.8939798,2.7489352,1
0.0,3.3372538,2.4967296,2.3283532,1
0.0,4.3391333,4.1349983,3.1360655,1
0.0,0.5644007,0.71643955,2.7605715,2
0.0,2.2381625,2.5703003,2.8369935,1
0.0,4.7681923,3.0527213,3.4958713,1
0.0,4.665671,3.8395636,3.1592727,1
0.0,0.6623218,0.6239673,4.2751436,2
0.0,4.330105,3.0536265,3.227015,1
1.4297082,7.539589,2.315401,5.3639493,0
2.084157,8.281215,2.5163434,6.0674496,0
0.0,6.2291718,3.805454,4.476155,1
2.16217,7.66117,1.9800029,5.324244,0
0.0,4.0358405,3.9669206,3.1454816,1
0.0,2.4596963,0.7322644,3.104254,2
0.0,0.9541173,2.0642292,3.8275032,2
0.0,5.862515,3.7183492,3.6156683,1
0.02640891,7.157122,2.7421021,5.310103,0
0.0,5.092244,2.9288654,3.9851341,1
0.0,5.5597267,4.782729,3.6720464,1
0.0,3.8492365,3.375746,2.7607365,1
2.7405095,9.329436,2.901977,6.7027206,0
1.9439573,6.697689,0.66326356,5.2038274,0
2.290061,7.6769905,1.7492075,5.5338664,0
0.0,0.41942602,1.6937777,3.9555604,2
0.0,6.2235637,4.2947607,3.7536764,1
0.0,5.0277987,2.313846,3.5723643,0
2.9840772,9.404324,2.8524408,6.5509768,0
1.1586807,7.469273,2.7498565,5.772891,0
0.0,1.2968068,2.5841637,3.5698867,1
0.0,3.450255,3.604004,3.1617842,1
0.0,6.1468887,2.5874941,4.780009,0
0.0,3.242106,3.7990713,2.944026,1
0.0,1.0877712,1.8627505,3.2045383,2
1.8129994,8.626511,2.840689,6.2775116,0
0.0,1.2291536,2.2237515,3.891148,2
0.0,0.38331416,0.20588177,3.423208,2
0.0,3.9802833,1.8907523,3.2544928,1
0.0,2.4309378,3.2645957,3.0010648,1
2.284843,7.5813584,0.6315413,5.5788927,0
1.885977,8.604319,2.6439352,5.839123,0
0.23364298,0.7340996,0.0,4.3955073,2
0.0,1.3640316,1.6292734,2.9159906,2
1.391406,8.454606,2.989472,5.934182,0
0.0,0.7039906,2.2793696,3.984587,2
0.0,1.034581,1.8549957,3.4554038,2
1.3595072,8.587239,3.13904,6.2213573,0
1.6028091,8.785114,3.1460128,6.0601606,0
0.0,0.41083062,1.1816466,4.101119,2
0.0,0.6374656,0.0,3.4479496,2
2.3505337,8.694302,2.7623353,6.287052,0
1.8906659,7.531542,2.1228614,5.6556826,0
0.0,0.50026786,0.4302432,4.050708,2
1.4139147,8.285043,2.7526505,5.9277735,0
0.0,1.0892301,2.6261811,3.5115323,2
0.0,4.5418353,4.073279,3.2251883,1
0.0,1.5865542,2.205983,3.0106626,2
2.3973904,8.303838,2.202555,5.806658,0
0.0,0.5004704,1.345201,3.98361,2
2.621665,9.083054,2.7529974,6.464722,0
0.0,0.5635407,0.34461904,3.6119142,2
0.058048487,7.19427,2.7281027,5.609914,0
0.0,5.124463,2.461456,3.6726174,1
0.0,4.6180673,3.862242,2.9884548,1
1.7540767,8.419006,2.7145956,6.224505,0
0.2608875,6.476692,1.917632,4.745724,0
1.1676965,8.265971,2.9778886,5.6383595,0
0.0,6.0973034,3.4146218,4.3437,1
1.6898963,8.0632925,2.6722658,5.7994256,0
2.1463628,7.444623,1.2699264,5.3740435,0
0.0,4.847829,3.0474193,3.4984121,1
0.0,6.478786,3.5707488,4.296776,1
0.0,2.1467624,0.42002106,3.6239057,0
2.3023474,9.223269,3.1520133,6.53646,0
1.8567663,8.1667795,2.4261954,6.00892,0
0.4206493,7.339093,2.724956,5.5529866,0
0.0,7.3495064,2.9174204,5.3109627,0
1.8157989,8.030809,2.7633333,6.0780306,0
0.0,6.716693,3.7429368,4.742164,1
3.1882057,9.4528265,2.7512915,6.558381,0
0.0,0.44205323,0.9958841,2.9366431,2
0.0,4.1223555,3.5203285,2.9597366,1
0.0,5.351342,2.9118507,3.9599686,0
0.0,4.9645286,1.6794386,3.8349419,0
0.0,0.7815095,1.5023837,3.627234,2
0.22564626,5.8123903,1.4604584,4.2803664,0
0.28091002,6.360902,2.8352294,5.2817926,0
0.0,4.412083,1.6533196,3.7526398,0
0.0,4.000208,2.7695186,2.9527667,1
0.0,0.31055516,0.90721685,4.2883506,2
0.7059748,8.029732,2.944547,5.8359423,0
0.0,5.4879217,4.3773193,3.5576873,1
0.0,2.8417172,1.934236,2.845398,2
0.0,5.4182196,3.8986478,3.573007,1
0.0,4.4289155,3.7551227,3.0964913,1
0.0,3.4292018,3.10742,2.649457,1
0.0,0.37004203,0.0,3.782215,2
0.0,5.672858,3.884206,3.7069106,1
0.0,5.8698974,3.4295707,4.1141877,1
0.0,1.5446398,1.7969317,3.379685,2
1.8805585,7.0725174,2.1461825,5.075325,0
0.4954629,7.7713223,2.5916598,5.466073,0
0.56702816,7.795667,3.1011548,5.4664726,0
0.0,5.4350357,4.635726,3.6210856,1
0.0,5.791583,3.779982,3.638692,1
2.6021369,9.00955,2.590051,6.245064,0
0.0,4.406209,2.3877788,3.3870144,1
0.0,0.5788882,0.5796358,3.8407028,2
0.003205657,6.53176,2.513308,4.3122373,0
0.0,0.50297236,0.0,3.49572,2
0.0,1.4564825,2.3430285,3.5002441,2
1.5209118,8.770951,3.1950355,6.384255,0
1.156173,4.1519485,0.0,4.8567257,0
1.8626698,9.215823,3.2285213,6.640154,0
0.0,0.16956711,0.0,4.5563674,2
2.7375836,8.210907,0.9381552,5.951272,0
0.0,5.5946026,2.5291703,4.7012115,0
0.0,4.359681,2.9381542,3.0314023,1
0.0,0.4510582,0.0,3.97128,2
2.1557903,8.0336895,2.1724334,5.519726,0
0.0,7.0402055,3.3798366,5.007106,0
0.0,6.039479,3.096411,4.9729986,0
1.2521969,4.3574343,0.0,4.584801,0
0.0,7.4288683,3.1080902,5.591265,0
1.3823087,8.425675,2.8937955,6.2549543,0
1.9421557,8.252987,2.8789897,6.0193872,0
0.0,4.468639,3.3484724,3.0308447,1
0.0,3.3501241,3.0563276,2.5561152,1
0.0,6.009697,3.8509727,4.3135557,1
0.236336,5.960527,2.6195953,4.7804112,0
0.0,4.4695973,3.770088,2.8969421,1
0.0,1.0366224,1.7326936,3.7524753,2
0.0,0.60594916,0.48821056,4.104063,2
1.6745225,7.7648935,2.137566,5.468928,0
0.0,0.6201181,0.0,3.7067437,2
0.0,3.901602,3.1092489,2.6118042,1
1.8489354,6.1879044,0.27689263,5.040039,0
0.0,2.7152264,3.2883723,2.7820501,1
0.0,0.35396874,0.8242853,4.3608,2
0.0,5.4396677,3.6203394,3.426423,1
0.9288635,6.815739,2.4092288,5.3718624,0
1.2241801,7.32831,2.2026892,5.330893,0
0.0,0.6518515,0.3373531,3.2106948,2
0.0,5.1197815,3.2691596,3.6064014,1
0.0,6.7380867,2.6930852,4.4716334,0
0.0,5.708701,3.324891,3.2943478,1
0.0,0.59787416,0.3005308,4.368734,2
0.0,0.5666064,1.4232764,2.7858815,2
1.6918173,8.782506,2.9194865,6.175096,0
0.0,0.9626877,2.3166008,3.754928,2
0.33593738,7.4631233,2.8600798,5.7004147,0
1.1770072,7.229435,2.5056229,4.644144,0
0.0,5.777203,3.4604611,4.047509,1
0.0,4.5369983,3.8319004,3.1159225,1
0.0,2.3104339,2.917775,2.8882833,1
0.0,3.3690348,1.6728485,3.225468,1
0.0,5.2995777,3.7523236,3.6847296,1
0.0,6.867916,3.0072854,5.096591,0
1.8385793,7.954221,2.5505862,5.925969,0
0.0,6.523557,3.6730316,4.445533,1
0.0,2.029382,1.7851804,3.3871632,2
0.0,4.605912,3.1862688,3.6349382,1
0.0,3.2272892,3.3848238,3.1464152,1
0.0,6.198883,3.9830866,4.33379,1
0.0,4.0619917,2.464451,3.4286926,1
0.0,5.422873,4.3068867,3.6263728,1
0.0,6.6138086,4.9383373,4.0158176,1
0.0,4.324671,4.114993,3.1951008,1
0.0,0.56239855,0.29741174,3.2710419,2
1.8554567,8.264427,2.7914746,6.148056,0
0.61935496,7.453556,2.6472256,5.5154023,0
0.0,0.50788504,1.3574736,3.9097958,2
0.0,3.2213848,3.574704,2.8764029,1
1.078411,7.3962545,2.2764392,5.2195096,0
0.0,1.1832929,1.8963386,3.4565651,2
0.0,1.7146116,0.72870433,3.1012783,2
0.0,2.4726443,2.9304793,3.1155457,1
0.0,3.4152167,3.993483,3.1446967,1
0.87662554,6.5936537,2.5745115,5.325942,0
0.0,3.5998173,3.5394573,2.6564202,2
0.51929533,8.066748,2.9339118,5.4170213,0
0.0,5.5440464,3.9987168,3.337688,1
0.0,0.5952832,1.2020898,3.852448,2
0.0,0.64302206,1.7574931,3.0034971,2
0.0,1.9886923,2.8881404,3.1676605,1
2.9684148,8.851524,2.3097968,6.1137743,0
0.0,3.1510963,2.565531,2.8134658,1
0.0,4.9805446,3.6784627,3.2577875,1
0.0,4.3737555,4.3420553,3.4569187,1
0.0,3.5421784,2.8266327,2.982697,1
1.0187095,7.3197126,2.710125,5.5698986,0
0.0,5.2197933,2.9571974,3.809216,1
0.0,0.5897022,0.0,4.1195765,2
0.38752365,7.9223595,2.9801838,5.711329,0
1.1632856,6.176214,2.4350107,5.0333457,0
0.0,4.925927,3.9101212,3.0697627,1
0.0,3.2853887,2.7276585,2.5521443,1
0.0,4.7517657,3.0973463,3.2115538,1
1.0806088,6.7132554,2.212409,5.090684,0
0.0,4.4346695,3.30879,2.8851025,1
0.0,2.563487,2.9504783,3.2611585,2
0.0,5.910636,3.7157676,3.8132162,1
0.0,5.4786463,3.351093,4.052182,1
0.0,3.8090882,1.9625499,3.2274084,1
0.0,5.26573,3.4996166,3.3665695,1
1.9708272,7.7480054,2.1063118,5.310395,0
1.9771976,8.950373,3.0204096,6.367234,0
0.0,5.458185,3.6112573,3.8419733,1
0.0,2.8397412,1.0980012,2.7930024,1
1.7755907,8.842859,2.799818,6.240465,0
2.1397886,8.653949,2.949152,6.4179235,0
0.0,1.5436924,1.7740443,2.949264,2
0.0,0.4941726,1.4278414,3.0978093,2
0.0,4.270509,4.241026,3.1844652,1
1.4193034,7.6674747,2.5282114,5.5874853,0
0.0,1.9240386,2.5052629,2.9531024,2
2.5930698,9.028116,2.6054597,6.361762,0
2.0880034,6.4975376,0.0,5.2438006,0
2.1212344,8.111833,1.8578491,5.7660894,0
2.3798385,8.080426,2.427453,5.942182,0
1.3572471,7.491079,2.5260816,5.9114738,0
0.0,4.3675995,3.1859312,3.0191016,1
1.8111184,8.016979,2.4856381,5.842725,0
0.0,5.7439137,3.7996125,3.5303636,1
1.3572471,7.491079,2.5260816,5.9114738,0
1.0996352,7.1513667,1.8908497,5.0399346,0
2.4096441,9.149052,3.0136428,6.549971,0
0.0,7.093303,2.577067,5.1254835,0
0.0,0.85482657,0.102567196,2.5772567,2
1.3979847,8.102314,2.8013668,5.851473,0
0.0,0.50297236,0.0,3.49572,2
0.07111635,0.46701115,0.0,4.394354,2
0.0,0.31665564,0.7456652,3.8726363,2
0.0,2.0322313,2.1419191,3.0593796,2
1.5133228,8.870223,3.1140904,6.02816,0
1.8377864,6.6833496,0.9717907,5.2439585,0
0.0,5.5805383,4.0463886,3.573072,1
0.0,0.45592773,0.7686875,4.1258335,2
0.0,7.044237,2.9652314,5.286781,0
0.48144317,6.42154,2.932281,5.117255,1
1.8310797,8.3989,2.767865,5.9751015,0
0.0,0.7373468,1.8279719,3.2358484,2
1.946148,8.949162,3.0965016,6.4456115,0
1.1927962,7.820319,2.6406422,5.6591845,0
1.2779806,7.627372,2.742992,5.6530576,0
0.0,4.296859,2.6036985,2.8414817,1
0.0,0.36844647,1.608218,4.046406,2
0.0,6.988503,2.9939847,5.092639,0
1.6092193,7.0674114,1.5435514,5.12778,0
0.0,4.860394,2.559123,3.8082123,1
0.9309064,8.230984,3.0192873,5.7852077,0
0.0,4.772748,3.7228222,2.9674041,1
2.2107568,8.769051,2.6563141,6.21399,0
0.0,4.5298276,3.8632476,3.243524,1
0.0,0.80033064,1.6898283,3.2862582,2
1.7527367,7.5213566,1.990149,5.2446127,0
1.1907632,7.503065,2.9437032,5.8816786,0
0.0,6.169362,3.3479254,4.8882,0
0.0,3.9936109,3.7851613,2.8177328,1
1.9403584,7.643162,1.6188885,5.597555,0
0.0,1.4382575,1.3834767,2.6643374,2
0.8287666,7.281689,2.4997022,5.2430496,0
0.8590076,5.385902,2.2085416,4.03711,0
1.4539553,7.3936844,2.6789186,5.552679,0
0.0,4.817338,3.6060667,3.2611537,1
0.0,1.3541778,1.9382176,3.1942832,1
0.0,0.6369099,0.0,3.26233,2
2.1892555,9.191066,3.0682173,6.395696,0
0.0,0.50014853,0.0,3.6931748,2
0.0,1.7459075,1.6117797,2.8318324,2
1.362171,7.3650503,2.306174,5.5475674,0
0.0,1.8195195,2.45148,3.7114794,2
0.37187755,6.416498,2.3827083,4.814084,1
0.0,2.8607967,3.1251345,2.9844472,1
3.0685601,8.987615,2.3758621,6.4265556,0
0.0,5.789836,3.2102375,3.6214042,1
0.0,5.135031,4.4119606,3.4007108,1
0.0,0.89851284,0.95942205,2.9273791,2
2.2529118,8.544283,2.583407,6.3569736,0
2.4615288,9.0866585,2.9112897,6.464158,0
0.91769624,7.0478487,2.370038,4.9514227,0
2.4529805,8.995617,2.791237,6.4673076,0
0.0,5.1508765,3.2460663,3.4671726,1
0.0,0.36297882,0.69159055,4.1855183,2
0.0,6.816074,3.068827,5.256447,0
2.0524573,7.3512125,1.7475313,5.393271,0
0.0,5.8409224,3.119771,4.750046,1
1.7967691,8.780513,2.97468,6.2047195,0
0.0,5.6922016,4.319126,3.4354131,1
0.0,3.15738,2.9501047,2.688348,1
0.9187664,7.331255,2.6287348,5.4515123,0
0.0,0.7542017,1.0040255,3.27481,2
1.5645634,8.882891,3.3185802,6.398348,0
0.5250722,6.8173203,2.7330322,5.2817287,0
0.0,2.177564,2.9256854,3.1205153,2
1.9358169,8.5536175,2.5310307,5.9878845,0
0.0,5.312934,3.8561816,3.3378267,1
0.0,4.679633,4.088765,3.4084423,1
0.0,4.587923,2.6485167,3.3009272,0
0.0,0.30640924,1.1049179,4.315943,2
2.0998335,7.8376703,2.871559,6.003989,0
1.3996404,8.393973,2.8956451,6.064996,0
0.0,4.743601,3.7627993,3.4066448,1
0.0,3.4901652,3.2120695,2.704985,1
0.0,5.2817388,4.1523476,3.1682887,1
0.0,1.8481606,1.4966111,3.349459,2
1.4320174,7.5298533,2.5803518,5.6760907,0
2.1398873,8.273612,2.4100592,5.8179803,0
0.0,3.8428106,3.7988567,3.0733573,1
0.015999436,6.573706,2.608497,4.803003,0
1.4402028,7.6030807,3.0370622,6.0046473,0
0.0,3.7302396,3.2917697,2.8660355,1
0.0,7.562933,2.8445835,5.352001,0
0.0,4.748974,4.0296307,3.1269236,1
2.084157,8.281215,2.5163434,6.0674496,0
0.0,0.667475,1.6330616,3.8098395,2
1.7995738,8.731264,2.8054318,6.2280426,0
0.0,5.911607,4.1327963,3.9080396,1
0.0,0.5967988,1.1240735,3.4526172,2
0.0,4.4670205,2.7671666,2.7118316,1
0.0,0.9206734,1.0472944,3.461204,1
1.6195991,7.726831,2.0432105,5.5482497,0
0.0,2.9464562,3.2479432,2.7582927,1
0.0,0.6106777,1.7187343,3.8631964,2
2.341435,8.847463,2.9543357,6.591686,0
0.0,0.525451,0.0,4.091344,2
0.0,5.273248,4.2737117,3.4126008,1
0.0,1.2695055,1.3413253,2.9098833,2
0.0,0.9302761,0.86543596,2.755223,2
0.0,0.6234141,0.28720367,2.8931303,2
0.0,6.099,3.48526,4.018051,1
0.0,5.4721346,4.0188627,3.3741403,1
0.0,4.7369,4.0948577,3.3877847,1
2.2359576,9.022394,2.9985037,6.6319046,0
1.3005639,8.259009,2.8779194,6.087109,0
0.0,5.402245,2.085691,4.040176,0
0.0,1.0137396,0.905589,2.8167531,2
0.0,0.48724824,1.0972227,3.7678537,2
0.0,4.7197146,2.0097249,3.760415,0
0.8645003,8.103471,2.9619243,5.6767497,0
2.4765606,9.434079,2.9856286,6.483303,0
0.0,0.5685086,0.0,4.2728944,2
0.0,6.1746492,3.2542062,4.6202545,1
0.0,6.5459394,2.761302,4.8525934,0
0.0,0.43707073,0.0,3.4421725,2
0.0,5.3950834,4.3450336,3.3758967,1
0.0,3.101927,3.6120803,2.789116,1
0.0,0.5095278,0.0,4.1388783,2
0.0,5.540081,3.377939,3.4913769,1
1.5594802,8.112722,2.481555,5.7128844,0
2.477176,7.824684,1.4126565,5.7269373,0
2.172392,7.2882814,1.7556449,5.485428,0
1.0681496,6.270583,2.5811791,4.9468985,0
0.0,1.1060448,1.4720621,3.377466,2
0.0,0.6521378,0.079161644,4.4248896,2
1.1919444,7.539816,2.1224086,5.2603297,0
0.9992572,8.37952,3.2562609,6.1812906,0
0.0,5.969763,3.0964563,4.460121,1
0.0,2.1172957,2.9004908,2.8635058,1
1.1109285,8.285135,3.0142634,5.982065,0
2.1026516,7.7658377,2.0285308,5.4368196,0
0.0,5.4261756,4.2811413,3.5676227,1
0.0,5.1795053,3.4018528,3.583199,1
2.1503925,8.6216345,2.570809,5.9660645,0
0.0,2.5630403,3.2199295,2.6654758,1
2.5757775,9.021784,2.7944705,6.354621,0
0.0,4.21057,3.252158,2.9160664,1
0.0,4.2895937,2.526771,3.3743591,1
0.0,5.6596622,4.2004776,3.419681,1
0.0,1.1723497,2.5074768,3.8303132,2
0.0,2.079048,2.512681,2.5479054,1
0.0,3.1605835,1.8910217,3.3814242,2
0.0,3.7776904,3.9390843,3.1103249,1
1.6013724,7.4421163,2.1205256,5.305785,0
0.0,2.945394,3.6295571,3.1312125,1
0.38517106,6.93923,2.201969,4.6004577,0
0.0,0.82967544,1.86544,4.118034,2
1.5691439,7.5050025,2.2894804,5.0979886,0
1.3109305,7.735643,2.4641004,5.44924,0
0.0,5.845266,2.753912,4.3028436,1
1.7870101,8.892465,3.1137853,6.217428,0
2.5037165,8.245682,1.625861,5.892011,0
0.0,4.620248,2.8780632,3.7412362,1
0.0,1.4109347,2.2148077,3.3983352,2
0.0,6.039873,3.0511286,4.453257,1
0.0,2.425267,2.0179572,2.4042041,1
0.0,0.5897022,0.0,4.1195765,2
2.7311888,8.244533,2.0254238,5.8246884,0
0.0,0.543672,0.224693,4.190536,2
0.0,0.44887048,0.0,4.379278,2
0.0,0.53337777,1.0023553,3.2750869,2
0.0,3.9079266,3.275585,3.0829363,1
0.09706807,7.672554,3.139594,5.5350866,0
0.9846556,6.7088523,1.6717916,4.8337297,0
0.0,5.2295027,4.299233,3.4418201,1
0.0,5.4709644,4.350271,3.2969003,1
1.4884048,8.848425,3.1582143,6.402961,0
0.23364298,0.7340996,0.0,4.3955073,2
0.0,4.9224167,3.8583593,3.3582487,1
0.0,0.7179838,0.23469496,4.210799,2
0.29349875,7.404578,3.1078358,5.5696197,0
0.0,0.5925912,0.0,3.8610415,2
0.0,0.37709367,0.83929694,4.2126966,2
1.3809268,5.611394,1.5106015,4.651499,0
0.0,0.56669754,0.0,4.3033667,2
0.0,4.591392,2.869661,3.1391902,1
2.5256872,9.215659,2.9655294,6.669162,0
2.2856226,7.3927994,1.6308033,5.305298,0
0.0,5.66171,4.3329954,3.4829288,1
2.4610686,9.175968,2.8529465,6.4733605,0
0.0,4.8056817,4.7548137,3.546482,1
0.0,0.7542017,1.0040255,3.27481,2
0.0,0.6856895,0.0,3.692524,2
0.0,3.5568404,0.6723305,2.894184,1
0.0,6.9769096,2.9463744,5.311574,0
1.1388339,8.726306,3.1972384,6.381013,0
0.0,4.9528213,4.1753917,3.1787457,1
1.947958,7.7304716,1.8969527,5.426761,0
0.0,3.7859476,3.6761317,2.864304,1
2.2813659,8.509713,2.652148,6.150716,0
0.0,5.0106697,4.589898,3.5095015,1
0.0,5.4766016,3.3818007,3.6926627,1
0.0,6.661376,2.481627,4.440029,0
0.0,4.661887,4.259429,3.261037,1
2.9454417,9.024589,2.516419,6.3263397,0
0.0,0.4476748,1.1191185,3.6867628,2
0.0,5.901952,3.9877386,3.4007258,1
1.1883495,8.50058,3.1276927,6.19941,0
0.0,4.982053,3.6375134,2.9969091,1
0.0,5.5782776,3.7322378,3.686666,1
0.0,1.1049522,1.2849534,3.4805439,2
0.0,5.1203804,3.846711,3.11228,1
0.0,6.4850903,4.350323,3.9538608,1
1.68346,6.7682343,1.6474756,4.8992057,0
0.0,0.34807247,1.2393821,3.1619039,2
0.0,4.288969,3.6399183,3.0043206,1
1.583311,8.056917,3.129648,6.01639,0
1.1635624,7.2037816,2.4440045,5.5283737,0
1.8353236,8.387361,2.8509147,6.278182,0
1.9884695,9.074097,3.1375408,6.413748,0
2.0837603,9.339693,3.2331364,6.5733843,0
0.0,0.6290456,0.4555093,3.8087611,2
0.0,3.9531388,3.0727742,3.1629977,1
0.0,1.9039967,1.8580333,2.9027953,2
