id,cultivation,color,brix,brix_after,sunlight,weight,status
62,스테비아,노랑,11.1,10.8,8.87,198.7,완판
63,스테비아,노랑,8.77,8.93,6.72,164.3,완판
64,스테비아,노랑,13.58,13.72,7.33,188.4,완판
65,스테비아,노랑,10.84,10.19,7.69,202.7,완판
66,스테비아,노랑,9.96,9.15,7.28,169.9,재고
67,스테비아,노랑,9.48,9.27,6.42,173.9,완판
68,스테비아,노랑,10.28,10.01,7.25,163.9,완판
69,스테비아,노랑,10.64,10.4,6.05,170.5,완판
70,스테비아,노랑,11.34,11.37,8.89,179.0,완판
71,프리미엄,주황,11.91,11.96,8.43,174.6,완판
72,프리미엄,주황,12.5,12.88,7.85,204.7,재고
73,프리미엄,주황,9.89,9.25,7.23,165.7,재고
74,프리미엄,주황,10.96,10.76,7.68,165.7,완판
75,프리미엄,주황,10.64,10.47,6.61,192.3,재고
76,프리미엄,주황,12.11,11.74,5.71,196.2,완판
77,프리미엄,주황,12.47,11.9,5.73,162.0,재고
78,프리미엄,주황,10.07,8.96,8.95,168.6,완판
79,프리미엄,주황,11.69,11.6,6.91,197.1,재고
80,프리미엄,주황,12.81,12.8,8.23,182.7,완판
81,프리미엄,주황,13.04,12.67,9.14,190.0,완판
82,프리미엄,주황,10.51,10.76,7.0,175.2,완판
83,프리미엄,주황,12.6,11.59,9.48,163.6,재고
84,프리미엄,주황,12.32,11.52,7.39,178.3,재고
85,프리미엄,주황,11.36,10.69,8.27,192.4,완판
86,프리미엄,주황,14.35,14.18,7.39,218.6,완판
87,프리미엄,주황,10.5,9.81,7.98,177.2,완판
88,프리미엄,주황,11.55,10.67,8.49,183.1,재고
89,프리미엄,주황,12.47,11.92,8.66,196.6,완판
90,프리미엄,주황,12.2,12.12,8.47,190.4,완판
91,프리미엄,주황,11.69,12.45,8.17,191.4,재고
92,프리미엄,주황,13.62,12.8,9.7,186.4,완판
93,프리미엄,주황,13.71,13.67,9.84,197.7,완판
94,프리미엄,주황,13.04,13.3,7.76,199.5,완판
95,프리미엄,주황,13.15,12.37,9.64,201.3,완판
96,프리미엄,주황,11.83,11.38,7.14,167.5,완판
97,프리미엄,주황,10.44,11.05,7.45,187.7,완판
98,프리미엄,주황,14.63,14.44,9.2,204.4,완판
99,프리미엄,주황,10.7,10.61,7.87,181.3,완판
100,프리미엄,주황,14.69,13.84,9.16,182.1,완판
101,프리미엄,주황,11.74,12.63,8.33,186.1,완판
102,프리미엄,주황,12.19,12.17,7.75,169.4,완판
103,프리미엄,주황,11.69,11.52,7.06,155.0,재고
104,프리미엄,주황,13.1,12.0,9.62,194.9,완판
105,프리미엄,주황,11.26,11.66,8.24,182.7,재고
